restaurant_id,name,city,locality,cuisines,avg_cost_for_two,currency,rating,votes
1,Jalsa,Bengaluru,Banashankari,"North Indian, Mughlai, Chinese",800.0,INR,4.1,775
2,Spice Elephant,Bengaluru,Banashankari,"Chinese, North Indian, Thai",800.0,INR,4.1,787
3,San Churro Cafe,Bengaluru,Banashankari,"Cafe, Mexican, Italian",800.0,INR,3.8,918
4,Addhuri Udupi Bhojana,Bengaluru,Banashankari,"South Indian, North Indian",300.0,INR,3.7,88
5,Grand Village,Bengaluru,Banashankari,"North Indian, Rajasthani",600.0,INR,3.8,166
6,Timepass Dinner,Bengaluru,Banashankari,North Indian,600.0,INR,3.8,286
7,Rosewood International Hotel - Bar & Restaurant,Bengaluru,Banashankari,"North Indian, South Indian, Andhra, Chinese",800.0,INR,3.6,8
8,Onesta,Bengaluru,Banashankari,"Pizza, Cafe, Italian",600.0,INR,4.6,2556
9,Penthouse Cafe,Bengaluru,Banashankari,"Cafe, Italian, Continental",700.0,INR,4.0,324
10,Smacznego,Bengaluru,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,INR,4.2,504
11,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Bengaluru,Banashankari,Cafe,500.0,INR,4.1,402
12,Cafe Shuffle,Bengaluru,Banashankari,"Cafe, Italian, Continental",600.0,INR,4.2,150
13,The Coffee Shack,Bengaluru,Banashankari,"Cafe, Chinese, Continental, Italian",500.0,INR,4.2,164
14,Caf-Eleven,Bengaluru,Banashankari,"Cafe, Continental",450.0,INR,4.0,424
16,Cafe Vivacity,Bengaluru,Banashankari,Cafe,650.0,INR,3.8,90
17,Catch-up-ino,Bengaluru,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,INR,3.9,133
18,Kirthi's Biryani,Bengaluru,Banashankari,"Chinese, Cafe, Italian",700.0,INR,3.8,144
19,T3H Cafe,Bengaluru,Banashankari,"Cafe, Italian, American",300.0,INR,3.9,93
20,360 Atoms Restaurant And Cafe,Bengaluru,Banashankari,"Cafe, Chinese, Continental, Italian",400.0,INR,3.1,13
21,The Vintage Cafe,Bengaluru,Banashankari,"Cafe, French, North Indian",400.0,INR,3.0,62
22,Woodee Pizza,Bengaluru,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500.0,INR,3.7,180
23,Cafe Coffee Day,Bengaluru,Banashankari,"Cafe, Fast Food",900.0,INR,3.6,28
24,My Tea House,Bengaluru,Banashankari,"Italian, Fast Food, Cafe, European",600.0,INR,3.6,62
25,Hide Out Cafe,Bengaluru,Banashankari,Cafe,300.0,INR,3.7,31
26,CAFE NOVA,Bengaluru,Banashankari,"Cafe, Bakery",600.0,INR,3.2,11
27,Coffee Tindi,Bengaluru,Banashankari,"Cafe, South Indian",200.0,INR,3.8,75
28,Sea Green Cafe,Bengaluru,Banashankari,"Cafe, Fast Food, Beverages",500.0,INR,3.3,4
29,Cuppa,Bengaluru,Banashankari,"Cafe, Fast Food",550.0,INR,3.3,23
30,Srinathji's Cafe,Bengaluru,Banashankari,"North Indian, Cafe, Chinese, Fast Food",550.0,INR,3.8,148
31,Redberrys,Bengaluru,Banashankari,"Cafe, Italian",600.0,INR,4.0,219
32,Foodiction,Bengaluru,Banashankari,"North Indian, Fast Food, Chinese, Burger",500.0,INR,2.8,506
33,Sweet Truth,Bengaluru,Banashankari,"Bakery, Desserts",500.0,INR,3.9,35
34,Ovenstory Pizza,Bengaluru,Banashankari,Pizza,750.0,INR,3.9,172
35,Faasos,Bengaluru,Banashankari,"North Indian, Biryani, Fast Food",500.0,INR,4.2,415
36,Behrouz Biryani,Bengaluru,Banashankari,Biryani,650.0,INR,3.9,230
37,Fast And Fresh,Bengaluru,Banashankari,"North Indian, Chinese, Fast Food",400.0,INR,2.8,91
38,Szechuan Dragon,Bengaluru,Banashankari,"Chinese, Thai, Momos",600.0,INR,4.2,1647
39,Empire Restaurant,Bengaluru,Banashankari,"North Indian, Mughlai, South Indian, Chinese",750.0,INR,4.4,4884
40,Maruthi Davangere Benne Dosa,Bengaluru,Banashankari,South Indian,150.0,INR,4.0,17
41,Chaatimes,Bengaluru,Banashankari,"Street Food, Fast Food",200.0,INR,3.8,133
42,Havyaka Mess,Bengaluru,Banashankari,South Indian,300.0,INR,3.9,28
43,McDonald's,Bengaluru,Banashankari,"Burger, Fast Food",500.0,INR,3.9,286
44,Domino's Pizza,Bengaluru,Banashankari,"Pizza, Fast Food",800.0,INR,3.9,540
46,Hotboxit,Bengaluru,Banashankari,"North Indian, Continental, Italian",400.0,INR,3.8,36
47,Kitchen Garden,Bengaluru,Banashankari,"North Indian, Chinese",300.0,INR,3.6,244
48,Recipe,Bengaluru,Banashankari,"North Indian, Chinese, Biryani, Rolls",450.0,INR,4.0,804
49,Beijing Bites,Bengaluru,Banashankari,"Chinese, Thai",850.0,INR,3.7,679
50,Tasty Bytes,Bengaluru,Banashankari,"North Indian, Chinese, Momos, Rolls",300.0,INR,3.1,245
51,Petoo,Bengaluru,Banashankari,North Indian,450.0,INR,3.7,21
52,Shree Cool Point,Bengaluru,Banashankari,"Fast Food, Street Food, Beverages",150.0,INR,4.1,28
53,Corner House Ice Cream,Bengaluru,Banashankari,"Ice Cream, Desserts",400.0,INR,4.3,345
54,Biryanis And More,Bengaluru,Banashankari,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,INR,4.0,618
55,Roving Feast,Bengaluru,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450.0,INR,4.0,1047
56,FreshMenu,Bengaluru,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,INR,3.9,627
57,Banashankari Donne Biriyani,Bengaluru,Banashankari,"Biryani, Fast Food",300.0,INR,3.8,104
58,Wamama,Bengaluru,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,INR,4.2,354
59,Five Star Chicken,Bengaluru,Banashankari,"Fast Food, Burger",200.0,INR,3.6,55
60,XO Belgian Waffle,Bengaluru,Banashankari,"Desserts, Beverages",400.0,INR,3.7,17
61,Peppy Peppers,Bengaluru,Banashankari,"Italian, North Indian, Mexican",800.0,INR,4.2,244
62,Goa 0 Km,Bengaluru,Banashankari,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,INR,3.6,163
63,Chinese Kitchen,Bengaluru,Banashankari,Chinese,150.0,INR,3.8,58
64,1947,Bengaluru,Banashankari,"North Indian, Chinese",850.0,INR,4.0,808
65,Cake of the Day,Bengaluru,Banashankari,Bakery,150.0,INR,3.7,78
66,Kabab Magic,Bengaluru,Banashankari,"North Indian, Kebab, Chinese, Fast Food",400.0,INR,4.1,1720
67,Namma Brahmin's Idli,Bengaluru,Banashankari,South Indian,100.0,INR,3.6,34
68,Gustoes Beer House,Bengaluru,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,INR,4.1,868
69,Sugar Rush,Bengaluru,Banashankari,"Bakery, Desserts",300.0,INR,3.8,39
70,Burger King,Bengaluru,Banashankari,"Burger, Fast Food, Beverages",600.0,INR,3.2,71
71,The Good Bowl,Bengaluru,Banashankari,"Italian, North Indian, Biryani",500.0,INR,3.6,6
72,The Biryani Cafe,Bengaluru,Banashankari,"Biryani, Chinese, Kebab",300.0,INR,4.1,520
73,Spicy Tandoor,Bengaluru,Banashankari,North Indian,150.0,INR,0.0,0
74,LSD Cafe,Bengaluru,Banashankari,"Chinese, Continental, Italian, North Indian",700.0,INR,2.9,84
75,Rolls On Wheels,Bengaluru,Banashankari,"Fast Food, Rolls, Momos",300.0,INR,3.6,299
76,Om Sri Vinayaka Chats,Bengaluru,Banashankari,"Street Food, Fast Food",500.0,INR,0.0,0
77,Sri Guru Kottureshwara Davangere Benne Dosa,Bengaluru,Banashankari,South Indian,150.0,INR,4.1,558
78,Devanna Dum Biriyani Centre,Bengaluru,Banashankari,"Biryani, South Indian",300.0,INR,3.6,28
79,Kolbeh,Bengaluru,Banashankari,Fast Food,500.0,INR,3.7,22
80,Upahar Sagar,Bengaluru,Banashankari,"South Indian, Chinese, North Indian",350.0,INR,3.8,39
81,Kadalu Sea Food Restaurant,Bengaluru,Banashankari,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,INR,3.8,153
82,Frozen Bottle,Bengaluru,Banashankari,"Beverages, Desserts, Ice Cream",400.0,INR,4.2,146
83,Parimala Sweets,Bengaluru,Banashankari,"Mithai, Street Food",200.0,INR,3.5,14
84,Vaishali Deluxe,Bengaluru,Banashankari,"North Indian, Chinese",700.0,INR,3.8,42
85,Chill Out,Bengaluru,Banashankari,"South Indian, Chinese",100.0,INR,0.0,0
86,The Big O Bakes,Bengaluru,Banashankari,"Bakery, Desserts",300.0,INR,4.0,66
87,Meghana Foods,Bengaluru,Banashankari,"Biryani, North Indian, Chinese",600.0,INR,4.4,4401
88,Krishna Sagar,Bengaluru,Banashankari,North Indian,200.0,INR,3.5,31
89,Dessert Rose,Bengaluru,Banashankari,Desserts,500.0,INR,3.5,7
90,Chickpet Donne Biryani House,Bengaluru,Banashankari,Biryani,250.0,INR,3.7,21
